	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51
CD8+ Tem	0	1	0	1	1	0.86225	0	1	0	1	1	0.579783333333333	0	1	0	1	1	0.768866666666667	0	0	0.157563333333333	0	0	0	0	0	0.306513333333333	0	0	1	0	0	0.349223333333333	0	0	1	0	0	0.218383333333333	0	0	0.864583333333333	0	0	0.0291633333333333	0.0112133333333333	0	1	0	0	0.350393333333333
CD8+ naive T-cells	0.00143333333333329	0	0.19288	0	0.00523666666666667	0	1	0	0.00654333333333335	0	0	0	0.0148466666666667	0	0.02408	0	0	0	1	0	0	0.411193333333333	0	0.000113333333333299	0	0	0	1	0	0	5.9999999999949e-05	0.44514	0	1	0.00341000000000002	0.02286	1	0	0.153946666666667	0.0206	0.0271633333333333	0	1	1	0.0225733333333333	1	0.01046	0	1	0.401636666666667	1
CLP	0	0	0.03052	0	0.413496666666667	0	0	4.99999999999945e-05	0	0	0	0	0	0	0.000466666666666615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153253333333333	0	0.00927	0.0470866666666667	0.45675	0.319513333333333	0	0	0.0115233333333333	0.5977	0.39478	0.154496666666667	0.229926666666667	0.0113266666666667	0.0687933333333334	0.0201733333333334	0	1	0.272403333333333	0.1521
CMP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.29829	1	1	1	1	1	1	1	1	1	1	1	0.3777	1	1	1	1	0.832996666666667	1	1	0.585783333333333	1	1	1	1	0.438936666666667	0.31526	1	1	0.792723333333333	1	0.637256666666667	0.133073333333333	1
Chondrocytes	0.276903333333333	1	0.0804	1	0.29894	0.138396666666667	1	0.264276666666667	0.0901266666666667	1	0.10348	1	1	1	1	1	1	1	1	1	0.26028	1	1	1	0.146196666666667	0.303476666666667	1	0.02017	0	1	0.0111633333333333	0.23788	1	0.24132	0.00574333333333332	1	0.34159	0.04422	1	0.10713	0	0.236223333333333	0.584866666666667	0	1	0.00642333333333334	0.00444666666666671	0	1	0	0.908283333333333
Class-switched memory B-cells	0	1	0	0	0	0	0	0.578333333333333	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00846999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DC	0.374523333333333	0.05718	1	1	1	1	0.78555	0.236436666666667	1	0.158426666666667	0.511533333333333	0.488456666666667	0.07969	0.377096666666667	0.742786666666667	0.172796666666667	0.632386666666667	0.75419	0	0	0	0.0298433333333333	0.0454866666666667	0	0.0951266666666667	0.05189	0	0.6636	1	1	0	0	0	1	0.850943333333333	1	0	0.00725333333333333	0	0.94225	1	1	1	0.899143333333333	0	1	1	0.838036666666667	0	0.62923	0
Endothelial cells	0.768663333333333	0.001	0.24736	0	0	0	0.47199	0.18132	0	0	0	0	0.00529000000000002	1	0	0.36008	1	0	0.78385	0	0	0	0	0	0	0	0	1	0	0.08446	0	0	0	0	0.0314033333333333	0	0	1	0	0	0	0	0	0.0155133333333334	0	0	0	0	0	0	0
Eosinophils	0.22559	1	0.286556666666667	1	1	0.0275333333333333	0.29312	1	1	1	1	0.01972	0.105203333333333	1	0.741633333333333	1	1	0.00745333333333331	1	1	1	1	1	0.58612	0.464463333333333	0.966713333333333	0.508863333333333	1	0.222733333333333	0.0841433333333333	1	0.60822	0.161916666666667	1	0.52042	0.0100866666666667	1	0.650306666666667	0.60623	0.12276	0.00979333333333332	0.000369999999999981	0.321203333333333	0.960883333333333	0.106033333333333	0.548576666666667	0.0872733333333333	0.04147	1	0.731293333333333	0.12816
Epithelial cells	0.07257	0.03204	0.370103333333333	0.162923333333333	0.17683	0	0	0.00111666666666665	0.00348999999999999	0	0.00130333333333332	0.1394	0.000600000000000045	0	0.0780933333333333	0.000210000000000043	0	0.02923	0	0	0	0.22957	0.22114	0.00105333333333335	0.16955	7.9999999999969e-05	0	0	0.378156666666667	0.0994033333333333	0	0	0	0.02349	1	0.388903333333333	0.118553333333333	0.223313333333333	1	0.000143333333333384	0.00171333333333334	0.0115733333333333	0	1	0.0124033333333333	2.000000000002e-05	0.23752	0	0	0	0
Erythrocytes	1	0.365886666666667	1	1	1	1	1	0.53714	1	1	1	0.02177	1	1	0.00498666666666669	0.223493333333333	1	0.0262433333333333	1	1	1	0.000836666666666708	0.05874	0.00601666666666667	0.00142666666666669	0.0148266666666667	1	1	0.256193333333333	0.88957	1	0.000956666666666717	0.00852333333333333	1	1	0.15859	1	1	0.0977633333333333	1	1	1	1	1	0.297276666666667	0.00502666666666662	0.000770000000000048	0.00931000000000004	0.0226366666666666	0.0435333333333333	0.0303766666666667
Fibroblasts	1	1	0.460286666666667	1	0.3398	0.425206666666667	1	1	0.626236666666667	1	0.48107	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.499003333333333	1	1	1	1	1	1	1	1	1	0.619903333333333	0.210536666666667	1	0.00205333333333335	0.742293333333333	0.67071	0.74691	0.17158	1	0.379546666666667	0.00317333333333336	0.45661	0.226283333333333
GMP	0.621686666666667	0.365843333333333	1	1	1	1	1	0.44575	1	0.890536666666667	0.29881	1	1	0.24401	1	0.527866666666667	0.323456666666667	1	0.506556666666667	1	1	1	1	1	1	0.789676666666667	0.34961	0.512556666666667	0.840413333333333	0.70675	0.51336	1	1	1	1	0.629336666666667	1	0.71327	0.227023333333333	1	1	1	1	1	1	1	1	0.741303333333333	1	0.799436666666667	1
HSC	1	0.211976666666667	1	0.621233333333333	0.0682166666666667	0.08014	0.48395	0.26368	1	0.23256	0.0156766666666667	0.508453333333333	1	0.151086666666667	1	0.609713333333333	0.180373333333333	1	1	0.180163333333333	0.0833933333333333	0.26173	0.28865	0.105873333333333	0.137486666666667	1	0.127986666666667	1	0.685586666666667	1	0.30673	0.205623333333333	0.03686	0.194276666666667	1	0.18176	0.27453	1	0.76621	0.744616666666667	1	0.561503333333333	0.33256	1	0	0.548563333333333	1	0.460496666666667	0.136203333333333	1	0.0951666666666666
Hepatocytes	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.654613333333333	1	0.0285666666666666	1	1	0.76519	1	1	0.183686666666667	1	1	1	0.638906666666667	1	0.0117466666666667	1	1	1	1	1	0.340226666666667	1	1	1	1	1	1	1	1	1	0.99694	1	0.210173333333333
Keratinocytes	0.0469966666666667	0	1	0.00478666666666672	0.05117	1	0.0262666666666667	0.191446666666667	1	0.03546	0.983996666666667	1	1	0	1	0.00211666666666666	0	1	0	0	0	0.0333833333333333	0.110433333333333	0	0.281	1	0	0.05844	1	1	0	0	0	0.18198	1	1	0.252743333333333	0.991216666666667	1	1	1	1	0.08597	1	0.0189866666666667	1	1	1	1	0.27543	0
MEP	0.160496666666667	0.01853	0.21463	0.0707266666666667	0.09405	0	0	0.0309433333333333	0.0243166666666667	0	0	0.01268	0	0	0.0582566666666666	0	0	0.0400199999999999	0.0684866666666667	0.0463266666666666	0	0.100436666666667	0.0339699999999999	0	1	0.152526666666667	0	1	0.140616666666667	0.11683	0	0.853363333333333	0	0.10863	0.216	0.12903	1	1	0.0116533333333333	0.117286666666667	0.514506666666667	1	1	1	0.0507033333333333	0.0803566666666666	0.162793333333333	0.15752	0.207063333333333	1	0.0613566666666666
MPP	0.0994633333333333	0.0481566666666666	0.0255966666666667	8.66666666666793e-05	0.48531	0.60008	0.00209000000000004	0.383823333333333	0.110233333333333	0.05525	0.226626666666667	0.257146666666667	0.0356366666666666	0.134113333333333	0.368326666666667	4.33333333332842e-05	0.0454366666666667	0.0163366666666667	0.20324	0.31835	0.76494	0.235106666666667	0.239916666666667	0.137203333333333	0.269733333333333	0.0724766666666666	0.304223333333333	0	0.28896	0.03947	0.22547	1	0.94971	0.391956666666667	0.14874	0.0166733333333333	0.792276666666667	0.06157	0.400083333333333	0.09416	0.0685566666666667	0.253416666666667	0.138153333333333	0.12654	0.56452	0.674243333333333	0.03688	0.0698566666666667	1	0.259976666666667	1
MSC	0	0	1	0	0.679003333333333	0.23892	0	0	0.11833	0	0.0399133333333334	0	0	0	0.156656666666667	0	0	0.0111599999999999	0.202116666666667	0.08752	0.27357	0	0.0205666666666666	0.0700166666666666	0.44712	0.18761	0.0769333333333333	0.0678733333333333	0.281	0	0	1	0	0.626513333333333	0.516883333333333	0.0340433333333333	0.63287	1	0.0404099999999999	0.354006666666667	0.25832	1	0.000643333333333329	0.90854	0.0253033333333333	1	1	0.452833333333333	1	1	1
Macrophages	0.23289	0.623466666666667	0.00189666666666666	0.196856666666667	1	0.00187666666666664	0.0368366666666666	0.03842	0.00829666666666662	0.0727100000000001	0.35135	0.000369999999999981	0.03383	0.0134266666666667	0.0127933333333333	0.0298966666666667	0.13097	0.000633333333333375	0	0	0	0	0	0	0.0224466666666666	0	0	0.02111	0.0382833333333333	0.00656666666666672	0	0	0	0.0357266666666667	0.0683233333333333	0.00498333333333334	0	0	0	0.0895133333333333	0.0397066666666667	0.00380999999999998	0.04076	0	0	0.0487166666666666	0.01785	0.00226666666666664	0	0	0
Macrophages M1	1	1	0.504396666666667	1	1	0.2304	0.69325	1	0.142883333333333	1	0.544273333333333	0.0506799999999999	0.488276666666667	0.91769	0.0545133333333333	0.111146666666667	1	0.324746666666667	0	5.66666666667048e-05	0	0.00117666666666671	0	0	0.00317666666666672	0.0775833333333333	0	0.20664	1	1	0	0	0	0.267016666666667	1	1	0	0.000353333333333317	0	0.38481	0.38968	0.768183333333333	0.909466666666667	0.02335	0	1	0.64164	1	0	0.188103333333333	0
Macrophages M2	0.10094	1	0	1	0.514793333333333	0.0396766666666667	0.00583666666666671	0.0251400000000001	0	0.118086666666667	1	0.0441433333333333	0.0220933333333333	0.221696666666667	0.00217999999999996	0.49007	0.330493333333333	0	0	0	0	0.0859766666666667	0.112356666666667	0.0218566666666666	1	0	0	3.33333333335517e-06	0.00136000000000003	0	0.11002	0	0	0.628446666666667	0.0198733333333333	0	0	0.000516666666666721	0	0.290316666666667	0.000346666666666717	0.00157666666666667	0.173663333333333	0.0501066666666666	0.00290999999999997	0.15323	0	0	0	0.0323233333333334	0
Mast cells	0.180136666666667	1	0.568416666666667	1	0.0480666666666667	1	0.176673333333333	0.84928	1	1	0.731256666666667	1	1	1	1	1	0.364726666666667	0.146593333333333	0.0299533333333334	1	0.51786	0.482716666666667	0.641576666666667	0.761246666666667	0.0962333333333333	0.827866666666667	0.0447433333333334	0	0.01853	0.0138133333333333	1	0.482716666666667	1	0.0138133333333333	0.0127566666666666	0.0700666666666667	0.0688066666666667	0.18736	0.10912	0	0.00912000000000002	0.100426666666667	0.0562066666666666	0.0447433333333334	1	0.0356933333333334	0.0447433333333334	1	0	0.00139666666666671	0.99643
Megakaryocytes	0.126323333333333	0.17426	0.00454333333333334	0.25655	0	0	0.0359033333333333	0.0352033333333334	0.0361633333333333	0.0482833333333333	0	0	1	0.0538033333333333	1	0	0	0.0204833333333333	1	1	0	1	0.84025	0.01479	0.16717	0.15851	0	0.03385	0.287923333333333	0.000106666666666699	0.15926	0.595746666666667	0	0.375143333333333	0.00106666666666666	0	1	0.104556666666667	0.06943	0	0.0179833333333334	0	0.00123666666666666	0.08114	0	0.0256666666666666	0.215523333333333	0	0.604783333333333	0.816673333333333	0.0383333333333333
Melanocytes	0.06477	0.545286666666667	0.464846666666667	0.17027	0.00146000000000002	0.981263333333333	0.05113	0.0929066666666667	1	0.688443333333333	0.928193333333333	0.383243333333333	0.772833333333333	0.224046666666667	0.0041566666666667	0.0856033333333334	1	0.04528	0.524973333333333	0	1	0.150503333333333	0	1	0	0.119536666666667	0.753403333333333	0.03334	0.00118666666666667	0.337503333333333	1	0.885986666666667	1	0.11307	0	0.961766666666667	0.0369266666666667	0.909436666666667	0.494853333333333	0.257473333333333	0.00385333333333338	0.460026666666667	0	0	0.657726666666667	1	0.157766666666667	0.00118666666666667	0.856263333333333	0	0.187546666666667
Memory B-cells	1	0.10061	1	0.0586433333333334	0.120016666666667	1	1	1	0.0736466666666666	0	0.000163333333333293	0.04705	1	0.674956666666667	0.07035	0.000176666666666714	0.00061666666666671	1	0.532043333333333	0.571473333333333	0	1	1	0	0.0276866666666666	1	0	1	1	1	0	1	0	1	1	1	1	1	0.01346	1	1	1	0.0311233333333333	1	3.33333333335517e-06	1	1	1	1	1	0.0107266666666667
Mesangial cells	1	1	0.01706	1	1	1	1	1	1	1	1	1	1	1	0.0451633333333333	1	1	1	0.279266666666667	0.0588766666666667	0.210476666666667	1	1	0.14217	0.15125	1	0.14506	1	1	1	0.0133133333333333	0	1	0.783183333333333	1	1	1	0.0175999999999999	1	1	1	1	1	0.01252	1	1	1	0.0365033333333333	0.495506666666667	0.336106666666667	1
Monocytes	1	1	1	1	1	1	1	0.342233333333333	0.13057	1	1	1	1	0.13754	1	1	0.255143333333333	1	0	0.195926666666667	0.0240533333333334	1	1	1	1	0.38002	0	0.294433333333333	1	1	0.0611766666666667	1	0.846886666666667	0.228866666666667	1	1	1	1	1	1	1	1	1	1	1	0.476013333333333	1	1	1	1	1
Myocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.00422999999999996	0	0	0	0	0	0	0	0	0	0	0.0712	0	0	0	0	0.14592	0	0	0	0	0	0	0.0071133333333333	0	0	0	0	0.00855666666666666	0	0.0882566666666666
NK cells	0.1115	1	0	1	1	1	0	1	0	1	1	1	0.797886666666667	1	0	1	1	1	0	0	1	0	0	0.274096666666667	0	0	1	0	0	1	0	0	0.13674	0.00148666666666664	0	1	0	0	1	0.46857	0	1	0.00405	0	0.416406666666667	1	0	1	0.194726666666667	0	1
NKT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0105266666666667	0	0.000260000000000038	0	0	0	0	0	0	0	0	0	1	0.0410766666666667	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00378999999999996	0
Neurons	0.455816666666667	0.00158000000000003	0.618656666666667	0.00528666666666666	0.00934999999999997	0.516	1	0.000419999999999976	0.997233333333333	0.00815999999999995	0.04548	1	0.510253333333333	0.00203666666666669	0.953546666666667	0.10468	0.4342	1	1	0.52179	0.210453333333333	0.180833333333333	0.493343333333333	0.08768	0.0909533333333333	0.195573333333333	0.64706	0.832586666666667	0.21548	0.618656666666667	0	1	0.0280366666666667	0.54635	0.994043333333333	1	0.867316666666667	0.55252	0.000850000000000017	0.161956666666667	1	0.75901	0.571613333333333	0.127676666666667	0.0783166666666667	0.0150566666666667	0.846603333333333	1	0.0167833333333334	0.477406666666667	1
Neutrophils	1	0.234133333333333	0.297456666666667	1	1	0.749306666666667	0.779233333333333	0.78533	0.804116666666667	1	1	1	1	0.86303	0.205546666666667	1	1	1	0	0.78533	0	1	1	0	0.577066666666667	0.00346333333333337	0	0.574683333333333	1	1	0.432676666666667	0.06503	0.0715066666666667	1	0.637766666666667	1	0	0.84269	0	1	0.973503333333333	0.12148	0.509776666666667	0.0736933333333334	0.361806666666667	0.07225	0.3374	1	0.538326666666667	1	0.361806666666667
Osteoblast	0.34955	1	0	0	1	0	0.00761666666666672	0	0	0.00102000000000002	0	0	0	0	0	0	0	0	1	0.0302733333333334	1	0.0531	0	0	1	0.0194133333333333	0	0.402896666666667	0.225413333333333	0.75176	0.475016666666667	0.772976666666667	0	0.709456666666667	0	1	1	1	1	0.157513333333333	0	0.05176	1	0.0556633333333333	0	0	0	0.09094	0	0	0
Pericytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.01096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plasma cells	1	7.33333333333697e-05	1	0.0361399999999999	1	1	1	0.350226666666667	1	0.00669333333333333	0.384306666666667	1	1	0	1	0	0.0212833333333333	1	1	0	0.0139333333333334	0.162083333333333	0.186616666666667	0.02817	1	1	1	1	1	1	0	1	0.411716666666667	1	1	1	1	1	0.374316666666667	1	1	1	1	1	1	1	1	0.49635	1	1	1
Platelets	0.19997	1	0.758576666666667	1	0.438673333333333	0.23346	0.120036666666667	0.199243333333333	0.693586666666667	1	0.135956666666667	0.422573333333333	1	0.970246666666667	1	1	0.205676666666667	0.88881	1	1	0.845403333333333	1	1	1	0.314096666666667	1	1	0.88242	0.536526666666667	0.72892	0.494453333333333	1	0.919636666666667	0.175373333333333	1	0.557203333333333	1	1	1	0.154336666666667	1	0.184453333333333	0.187343333333333	1	0.280793333333333	0.181136666666667	0.738776666666667	0.49953	0.88037	1	1
Preadipocytes	0.0591633333333333	0.02339	1	0.02578	0	0.0742033333333333	1	0.00048999999999999	1	1	0.000713333333333344	1	1	0.0524033333333334	0.322613333333333	1	0.0469433333333333	0.762063333333333	1	0.40481	0.531746666666667	0.0220933333333333	1	0.0569066666666667	0.208213333333333	0.0240533333333334	0	0.223946666666667	3.33333333335517e-06	1	0.0375633333333333	0	0	0.00104666666666664	0.00239999999999996	0	0	0.000473333333333326	0	4.33333333332842e-05	0.04269	0.0847433333333333	0.0938033333333333	0.03529	0.0139466666666667	0	0.203963333333333	1	0	0.00380999999999998	0
Sebocytes	0.192516666666667	0.0290866666666667	1	0.314966666666667	0.12652	0.22028	0.0919966666666666	0.279343333333333	1	0.0220333333333333	0.254213333333333	1	1	0.139056666666667	1	0.0919966666666666	0.0973133333333334	1	0.0552766666666666	0.0770466666666667	0.000609999999999999	0.0591766666666667	0.290593333333333	0.20636	0.0241666666666667	0.0770466666666667	0.240923333333333	0.05133	1	1	0	0	0	1	0.247626666666667	1	1	0.267186666666667	1	1	0.327446666666667	1	0.279343333333333	1	1	1	1	0.20636	0.33242	1	1
Skeletal muscle	0.245866666666667	0	9.66666666666338e-05	0.0189733333333333	0.00551999999999997	0	0.0809366666666667	0.0209533333333334	0	0.0292066666666667	0	0	1	0.371763333333333	0	1	0.973576666666667	0	1	0.588256666666667	0.138296666666667	0	0	0	0	0	0.00141000000000002	0	0	0.0083766666666667	0.000380000000000047	0.996143333333333	0	0	0	0	0.03921	5.33333333333497e-05	0.03921	0	0.01192	0.01422	0.0347533333333333	0	0	0.138296666666667	0.00551999999999997	0	1	0.00338000000000005	1
Smooth muscle	1	1	0.225376666666667	1	1	0.298763333333333	1	1	0.406726666666667	1	0.42687	0.55063	1	1	0.383153333333333	1	1	0.26375	1	0.26785	1	0.508583333333333	0.170763333333333	0.176226666666667	0.0790433333333334	0.235603333333333	0.20989	1	0.202036666666667	1	1	0.386673333333333	0.14725	1	0.282193333333333	1	0.329146666666667	0.21657	0.339663333333333	1	1	0.296203333333333	1	1	1	0.340336666666667	0.319906666666667	0.314226666666667	0.54834	0.455633333333333	0.24498
Tgd cells	0.335616666666667	1	0.144116666666667	1	1	0.31686	0.00782666666666665	1	0.07757	1	1	0.00980666666666663	0.101613333333333	1	0.05332	1	1	0.0350933333333333	0.320123333333333	0.0487300000000001	0.559843333333333	0.0149466666666667	0.00143666666666664	0.137543333333333	0.0370933333333333	0	0.528966666666667	0.05189	0.0475966666666666	0.36038	0.179403333333333	0.00775666666666663	0.105066666666667	0.0789233333333333	0.07081	0.167616666666667	0.0678	6.33333333333042e-05	0.35286	0.0757766666666667	0.01463	0.26583	0.07501	0.00487333333333329	0.183003333333333	0.167616666666667	0.0199033333333334	0.247593333333333	0.167616666666667	0.0149466666666667	0.299646666666667
Th1 cells	0.3814	0.784113333333333	0.30142	1	1	0.15232	0.134843333333333	0.78236	0.0333066666666667	0.578213333333333	0.588853333333333	0.00436999999999999	0.0557299999999999	0.36442	0.0191233333333334	0.614763333333333	0.315136666666667	0.15232	0.0621233333333333	0	0	0	0	0	0	0	0	0.42693	0.14063	0.09093	0.0619033333333333	0	0	0.113736666666667	0.00721333333333329	0.201316666666667	0.0270899999999999	0	0.000103333333333344	0.3182	0.0911333333333333	0.63599	0.422693333333333	0.000183333333333313	0.000486666666666635	0.387616666666667	0.14103	0.412343333333333	0.382043333333333	0	0.0298066666666666
Th2 cells	0	1	0.0155999999999999	1	1	0	0.00523666666666667	0.625806666666667	0.00398666666666669	1	0.580613333333333	0	0.0366300000000001	1	0	1	1	0	0.00480000000000003	0.0366300000000001	0.00759333333333334	0.000410000000000021	0	0.00373999999999997	0	0	0	0.237686666666667	0	0.111816666666667	0	0	0	0.211316666666667	0.00918666666666668	0.0374166666666667	0	0.00297666666666663	0.000743333333333318	0.0326366666666666	0	0.00485999999999998	0	0.000269999999999992	0.15482	0.0105833333333333	0.000296666666666612	0.00302666666666662	2.99999999999745e-05	0.0073833333333333	0.000519999999999965
Tregs	0	0.253443333333333	1	1	0	0	0.22312	0.806426666666667	1	1	0	0	0.00489666666666666	1	1	1	0	0	0.0304066666666667	0	0	0.04884	0.1383	0	0.000399999999999956	0.67277	0	0.201416666666667	0.53909	0	0	0	0	0.0146266666666667	1	0	0	0.00251000000000001	0	0	0.87903	0	0	0.0840033333333333	0	0.000643333333333329	0.76261	0	0	0	0
aDC	0.799273333333333	1	1	1	1	0.48055	0.75708	1	0.951983333333333	1	1	0.0141	0.963346666666667	1	0.31896	1	1	0.00703666666666669	0	0	0	0.000323333333333342	0.000133333333333319	0	0.05146	0.0139233333333333	0	0.888593333333333	1	0.03288	0	0	0	0.277363333333333	0.32466	0.00348000000000004	0	0	0	0.0793766666666667	0.247873333333333	0.00358333333333338	0.0434933333333334	0.106286666666667	0	0.291343333333333	1	0.0294233333333334	0	0.13122	0
cDC	0.00297000000000003	0	0.107146666666667	0.554156666666667	1	0.00675333333333328	0.497046666666667	0.00170333333333328	1	7.33333333333697e-05	0.107146666666667	0.000566666666666715	0.0130566666666667	0.0130566666666667	0.08869	4.99999999999945e-05	0.318213333333333	0.000283333333333302	0.172926666666667	0.20419	0.0108633333333333	0.04874	0.0184033333333333	0.00253999999999999	0	0.418716666666667	0	1	1	0.28882	0.00348000000000004	1	0.01993	1	0.163483333333333	1	1	0.248283333333333	1	0.09212	1	1	1	0.26478	0	0.248283333333333	1	0	1	1	0.374946666666667
